date,store_id,state_id,sales,snap
2011-01-29,CA_1,CA,4337,0
2011-01-29,CA_2,CA,3494,0
2011-01-29,CA_3,CA,4739,0
2011-01-29,CA_4,CA,1625,0
2011-01-29,TX_1,TX,2556,0
2011-01-29,TX_2,TX,3852,0
2011-01-29,TX_3,TX,3030,0
2011-01-29,WI_1,WI,2704,0
2011-01-29,WI_2,WI,2256,0
2011-01-29,WI_3,WI,4038,0
2011-01-30,CA_1,CA,4155,0
2011-01-30,CA_2,CA,3046,0
2011-01-30,CA_3,CA,4827,0
2011-01-30,CA_4,CA,1777,0
2011-01-30,TX_1,TX,2687,0
2011-01-30,TX_2,TX,3937,0
2011-01-30,TX_3,TX,3006,0
2011-01-30,WI_1,WI,2194,0
2011-01-30,WI_2,WI,1922,0
2011-01-30,WI_3,WI,4198,0
2011-01-31,CA_1,CA,2816,0
2011-01-31,CA_2,CA,2121,0
2011-01-31,CA_3,CA,3785,0
2011-01-31,CA_4,CA,1386,0
2011-01-31,TX_1,TX,1822,0
2011-01-31,TX_2,TX,2731,0
2011-01-31,TX_3,TX,2225,0
2011-01-31,WI_1,WI,1562,0
2011-01-31,WI_2,WI,2018,0
2011-01-31,WI_3,WI,3317,0
2011-02-01,CA_1,CA,3051,1
2011-02-01,CA_2,CA,2324,1
2011-02-01,CA_3,CA,4232,1
2011-02-01,CA_4,CA,1440,1
2011-02-01,TX_1,TX,2258,1
2011-02-01,TX_2,TX,2954,1
2011-02-01,TX_3,TX,2169,1
2011-02-01,WI_1,WI,1251,0
2011-02-01,WI_2,WI,2522,0
2011-02-01,WI_3,WI,3211,0
2011-02-02,CA_1,CA,2630,1
2011-02-02,CA_2,CA,1942,1
2011-02-02,CA_3,CA,3817,1
2011-02-02,CA_4,CA,1536,1
2011-02-02,TX_1,TX,1694,0
2011-02-02,TX_2,TX,2492,0
2011-02-02,TX_3,TX,1726,0
2011-02-02,WI_1,WI,2,1
2011-02-02,WI_2,WI,1175,1
2011-02-02,WI_3,WI,2132,1
2011-02-03,CA_1,CA,3276,1
2011-02-03,CA_2,CA,2288,1
2011-02-03,CA_3,CA,4369,1
2011-02-03,CA_4,CA,1389,1
2011-02-03,TX_1,TX,2734,1
2011-02-03,TX_2,TX,3439,1
2011-02-03,TX_3,TX,2833,1
2011-02-03,WI_1,WI,2049,1
2011-02-03,WI_2,WI,2244,1
2011-02-03,WI_3,WI,4590,1
2011-02-04,CA_1,CA,3450,1
2011-02-04,CA_2,CA,2629,1
2011-02-04,CA_3,CA,4703,1
2011-02-04,CA_4,CA,1469,1
2011-02-04,TX_1,TX,1691,0
2011-02-04,TX_2,TX,2588,0
2011-02-04,TX_3,TX,1947,0
2011-02-04,WI_1,WI,2815,0
2011-02-04,WI_2,WI,2232,0
2011-02-04,WI_3,WI,4486,0
2011-02-05,CA_1,CA,5437,1
2011-02-05,CA_2,CA,3729,1
2011-02-05,CA_3,CA,5456,1
2011-02-05,CA_4,CA,1988,1
2011-02-05,TX_1,TX,2820,1
2011-02-05,TX_2,TX,3772,1
2011-02-05,TX_3,TX,2848,1
2011-02-05,WI_1,WI,3248,1
2011-02-05,WI_2,WI,2643,1
2011-02-05,WI_3,WI,5991,1
2011-02-06,CA_1,CA,4340,1
2011-02-06,CA_2,CA,2957,1
2011-02-06,CA_3,CA,5581,1
2011-02-06,CA_4,CA,1818,1
2011-02-06,TX_1,TX,2887,1
2011-02-06,TX_2,TX,3657,1
2011-02-06,TX_3,TX,2832,1
2011-02-06,WI_1,WI,1674,1
2011-02-06,WI_2,WI,2140,1
2011-02-06,WI_3,WI,4850,1
2011-02-07,CA_1,CA,3157,1
2011-02-07,CA_2,CA,2218,1
2011-02-07,CA_3,CA,4912,1
2011-02-07,CA_4,CA,1535,1
2011-02-07,TX_1,TX,2174,1
2011-02-07,TX_2,TX,2932,1
2011-02-07,TX_3,TX,2213,1
2011-02-07,WI_1,WI,1355,0
2011-02-07,WI_2,WI,1836,0
2011-02-07,WI_3,WI,3240,0
2011-02-08,CA_1,CA,2995,1
2011-02-08,CA_2,CA,2123,1
2011-02-08,CA_3,CA,4447,1
2011-02-08,CA_4,CA,1368,1
2011-02-08,TX_1,TX,1607,0
2011-02-08,TX_2,TX,2628,0
2011-02-08,TX_3,TX,1989,0
2011-02-08,WI_1,WI,1335,1
2011-02-08,WI_2,WI,1526,1
2011-02-08,WI_3,WI,3053,1
2011-02-09,CA_1,CA,2710,1
2011-02-09,CA_2,CA,1901,1
2011-02-09,CA_3,CA,4544,1
2011-02-09,CA_4,CA,1195,1
