date,store_id,actual_sales,final_forecast,feature_set,selected_model,error,absolute_error,absolute_percentage_error
2016-03-28,CA_1,3905.0,4009.9633029064275,snap_only,"SARIMAX (1, 1, 1)(1, 1, 1, 7) - CA_1",-104.96330290642754,104.96330290642754,2.687920689025033
2016-03-29,CA_1,3788.0,3688.6840975283453,snap_only,"SARIMAX (1, 1, 1)(1, 1, 1, 7) - CA_1",99.31590247165468,99.31590247165468,2.621855925862056
2016-03-30,CA_1,3339.0,3672.906311645779,snap_only,"SARIMAX (1, 1, 1)(1, 1, 1, 7) - CA_1",-333.90631164577917,333.90631164577917,10.000189028025732
2016-03-31,CA_1,4076.0,3679.123052073661,snap_only,"SARIMAX (1, 1, 1)(1, 1, 1, 7) - CA_1",396.8769479263392,396.8769479263392,9.736922176799293
2016-04-01,CA_1,4983.0,4609.639694179184,snap_only,"SARIMAX (1, 1, 1)(1, 1, 1, 7) - CA_1",373.3603058208164,373.3603058208164,7.492681232607193
2016-04-02,CA_1,5877.0,5898.909130549363,snap_only,"SARIMAX (1, 1, 1)(1, 1, 1, 7) - CA_1",-21.909130549363,21.909130549363,0.37279446229986385
2016-04-03,CA_1,6496.0,5816.0343831558275,snap_only,"SARIMAX (1, 1, 1)(1, 1, 1, 7) - CA_1",679.9656168441725,679.9656168441725,10.467450998216941
2016-04-04,CA_1,4812.0,4540.621509831075,snap_only,"SARIMAX (1, 1, 1)(1, 1, 1, 7) - CA_1",271.37849016892505,271.37849016892505,5.639619496444827
2016-04-05,CA_1,4063.0,4065.958003692919,snap_only,"SARIMAX (1, 1, 1)(1, 1, 1, 7) - CA_1",-2.958003692919192,2.958003692919192,0.07280343817177434
2016-04-06,CA_1,3964.0,4011.171199992691,snap_only,"SARIMAX (1, 1, 1)(1, 1, 1, 7) - CA_1",-47.17119999269107,47.17119999269107,1.1899899089982613
2016-04-07,CA_1,3655.0,3984.6471593870438,snap_only,"SARIMAX (1, 1, 1)(1, 1, 1, 7) - CA_1",-329.64715938704376,329.64715938704376,9.019074128236491
2016-04-08,CA_1,4719.0,4533.506220845845,snap_only,"SARIMAX (1, 1, 1)(1, 1, 1, 7) - CA_1",185.49377915415516,185.49377915415516,3.9307857417706114
2016-04-09,CA_1,6112.0,5829.213306121635,snap_only,"SARIMAX (1, 1, 1)(1, 1, 1, 7) - CA_1",282.78669387836544,282.78669387836544,4.626745645915665
