item_id,forecast_days,avg_actual_sales,avg_forecast_sales,avg_absolute_error,avg_percentage_error
FOODS_3_586,28,38.392857142857146,39.881102448621895,6.303738186261303,17.46157762019681
FOODS_3_252,28,37.535714285714285,35.66488535151915,6.231376161724784,17.82067099032468
FOODS_3_555,28,19.142857142857142,18.44639045214427,3.183782098247494,18.022814966968653
FOODS_3_080,28,18.535714285714285,19.62602343994757,4.863147886709568,32.687441464212306
FOODS_3_714,28,18.75,20.210882751423632,4.483581697475267,36.286553225298675
FOODS_2_197,28,19.964285714285715,12.659600722376368,8.092792982712448,36.684273209821946
FOODS_3_090,28,50.82142857142857,62.16427726229676,16.19667350675943,46.72585880968986
FOODS_3_587,28,22.964285714285715,40.214519973827755,17.25023425954204,92.4464494266282
FOODS_3_808,28,1.3928571428571428,2.3697838840932053,3.2535662958382354,99.20856042558852
FOODS_3_120,28,38.25,45.31040181758501,21.74579979042542,143.95454402466802
