date,dept_id,actual_sales,sarimax_forecast,error,absolute_error,absolute_percentage_error
2016-03-28,FOODS_1,233,324.4765554203324,-91.47655542033237,91.47655542033237,39.26032421473493
2016-03-29,FOODS_1,185,314.23122251677427,-129.23122251677427,129.23122251677427,69.85471487393204
2016-03-30,FOODS_1,215,310.9650289179923,-95.9650289179923,95.9650289179923,44.63489717115921
2016-03-31,FOODS_1,354,319.1119513288304,34.8880486711696,34.8880486711696,9.855380980556385
2016-04-01,FOODS_1,320,383.0733320312513,-63.07333203125131,63.07333203125131,19.710416259766035
2016-04-02,FOODS_1,311,443.53531097729194,-132.53531097729194,132.53531097729194,42.61585561970802
2016-04-03,FOODS_1,367,385.564353546117,-18.56435354611699,18.56435354611699,5.05840696079482
2016-04-04,FOODS_1,238,315.2473934601212,-77.2473934601212,77.2473934601212,32.456888008454285
2016-04-05,FOODS_1,246,309.3202092222673,-63.320209222267295,63.320209222267295,25.739922448076136
2016-04-06,FOODS_1,214,310.17061568186836,-96.17061568186836,96.17061568186836,44.93954003825624
2016-04-07,FOODS_1,261,321.171742190115,-60.171742190115026,60.171742190115026,23.054307352534494
2016-04-08,FOODS_1,319,377.6996493911325,-58.69964939113248,58.69964939113248,18.4011440097594
2016-04-09,FOODS_1,394,435.3731149109998,-41.37311491099979,41.37311491099979,10.50079058654817
2016-04-10,FOODS_1,301,384.36408761890675,-83.36408761890675,83.36408761890675,27.69571017239427
2016-04-11,FOODS_1,257,310.73659180077084,-53.73659180077084,53.73659180077084,20.909179689015893
2016-04-12,FOODS_1,227,305.0648567353461,-78.0648567353461,78.0648567353461,34.38980472922736
2016-04-13,FOODS_1,213,306.13472160465335,-93.13472160465335,93.13472160465335,43.72522141063537
2016-04-14,FOODS_1,282,317.2828273408339,-35.282827340833876,35.282827340833876,12.51164090100492
2016-04-15,FOODS_1,293,373.66339343875546,-80.66339343875546,80.66339343875546,27.530168409131555
2016-04-16,FOODS_1,317,431.20831350517096,-114.20831350517096,114.20831350517096,36.0278591498962
2016-04-17,FOODS_1,268,380.52904789282985,-112.52904789282985,112.52904789282985,41.98845070627979
2016-04-18,FOODS_1,302,311.124110660762,-9.124110660762028,9.124110660762028,3.0212286956165655
2016-04-19,FOODS_1,237,305.46476763747,-68.46476763747,68.46476763747,28.888087610746837
